id,fonte_original,arquivo_foto,rotulo,finalidade,x0,y0,x1,y1
dev_0,IMG_7057.heic,fotos/IMG_7057.png,0,desenvolvimento,320,600,600,960
dev_1,IMG_7057.heic,fotos/IMG_7057.png,1,desenvolvimento,820,600,1060,960
dev_2,IMG_7057.heic,fotos/IMG_7057.png,2,desenvolvimento,1240,620,1500,960
dev_3,IMG_7057.heic,fotos/IMG_7057.png,3,desenvolvimento,1560,600,1800,960
dev_4,IMG_7057.heic,fotos/IMG_7057.png,4,desenvolvimento,1850,590,2080,920
dev_5,IMG_7057.heic,fotos/IMG_7057.png,5,desenvolvimento,2100,600,2300,880
dev_6,IMG_7057.heic,fotos/IMG_7057.png,6,desenvolvimento,2340,600,2520,880
dev_7,IMG_7057.heic,fotos/IMG_7057.png,7,desenvolvimento,2560,600,2720,880
dev_8,IMG_7057.heic,fotos/IMG_7057.png,8,desenvolvimento,2740,580,2870,880
dev_9,IMG_7057.heic,fotos/IMG_7057.png,9,desenvolvimento,2880,560,3020,880
aval_7058_0,IMG_7058.heic,fotos/IMG_7058.png,0,avaliacao,70,700,380,1130
aval_7058_1,IMG_7058.heic,fotos/IMG_7058.png,1,avaliacao,490,710,730,1100
aval_7058_2,IMG_7058.heic,fotos/IMG_7058.png,2,avaliacao,820,710,1100,1100
aval_7058_3,IMG_7058.heic,fotos/IMG_7058.png,3,avaliacao,1130,690,1340,1060
aval_7058_4,IMG_7058.heic,fotos/IMG_7058.png,4,avaliacao,1360,700,1620,1060
aval_7058_5,IMG_7058.heic,fotos/IMG_7058.png,5,avaliacao,1650,700,1910,1070
aval_7058_6,IMG_7058.heic,fotos/IMG_7058.png,6,avaliacao,1940,700,2200,1070
aval_7058_7,IMG_7058.heic,fotos/IMG_7058.png,7,avaliacao,2300,730,2520,1090
aval_7058_8,IMG_7058.heic,fotos/IMG_7058.png,8,avaliacao,2560,700,2820,1050
aval_7058_9,IMG_7058.heic,fotos/IMG_7058.png,9,avaliacao,2880,710,3100,1050
aval_7059_0,IMG_7059.heic,fotos/IMG_7059.png,0,avaliacao,0,740,260,1140
aval_7059_1,IMG_7059.heic,fotos/IMG_7059.png,1,avaliacao,300,760,500,1100
aval_7059_2,IMG_7059.heic,fotos/IMG_7059.png,2,avaliacao,550,760,780,1110
aval_7059_3,IMG_7059.heic,fotos/IMG_7059.png,3,avaliacao,820,750,1020,1100
aval_7059_4,IMG_7059.heic,fotos/IMG_7059.png,4,avaliacao,1120,730,1330,1100
aval_7059_5,IMG_7059.heic,fotos/IMG_7059.png,5,avaliacao,1450,730,1680,1060
aval_7059_6,IMG_7059.heic,fotos/IMG_7059.png,6,avaliacao,1800,720,2000,1050
aval_7059_7,IMG_7059.heic,fotos/IMG_7059.png,7,avaliacao,2100,720,2310,1040
aval_7059_8,IMG_7059.heic,fotos/IMG_7059.png,8,avaliacao,2360,660,2590,1020
aval_7059_9,IMG_7059.heic,fotos/IMG_7059.png,9,avaliacao,2660,660,2950,1040
