Imagem,Foto,Verdadeiro,Previsto,Confiança calibrada,Acerto
aval_7058_0,IMG_7058.heic,0,0,0.9997223513896617,True
aval_7058_1,IMG_7058.heic,1,1,0.9272823548926458,True
aval_7058_2,IMG_7058.heic,2,2,0.994076977561146,True
aval_7058_3,IMG_7058.heic,3,3,0.9990057728702211,True
aval_7058_4,IMG_7058.heic,4,4,0.991196157019297,True
aval_7058_5,IMG_7058.heic,5,5,0.9880667761240396,True
aval_7058_6,IMG_7058.heic,6,6,0.9983143675406255,True
aval_7058_7,IMG_7058.heic,7,7,0.7686317127958423,True
aval_7058_8,IMG_7058.heic,8,8,0.872430268793218,True
aval_7058_9,IMG_7058.heic,9,9,0.9959561079297171,True
aval_7059_0,IMG_7059.heic,0,0,0.9697078771749396,True
aval_7059_1,IMG_7059.heic,1,1,0.9316053533701202,True
aval_7059_2,IMG_7059.heic,2,2,0.8992901018746985,True
aval_7059_3,IMG_7059.heic,3,3,0.9999180083650784,True
aval_7059_4,IMG_7059.heic,4,4,0.9990849901749521,True
aval_7059_5,IMG_7059.heic,5,5,0.9314891829510438,True
aval_7059_6,IMG_7059.heic,6,6,0.9991014410616847,True
aval_7059_7,IMG_7059.heic,7,7,0.9791509984625543,True
aval_7059_8,IMG_7059.heic,8,8,0.9706509000969217,True
aval_7059_9,IMG_7059.heic,9,3,0.9853433477879243,False
